"PASSENGERS","DISTANCE","UNIQUE_CARRIER_NAME","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","DEST","DEST_CITY_NAME","DEST_STATE_NM",
1.00,516.00,"Endeavor Air Inc.","ATL","Atlanta, GA","Georgia","ORF","Norfolk, VA","Virginia",
1.00,906.00,"Endeavor Air Inc.","BGR","Bangor, ME","Maine","CVG","Cincinnati, OH","Kentucky",
1.00,116.00,"American Airlines Inc.","BDL","Hartford, CT","Connecticut","EWR","Newark, NJ","New Jersey",
1.00,347.00,"American Airlines Inc.","PHX","Phoenix, AZ","Arizona","ELP","El Paso, TX","Texas",
1.00,204.00,"American Airlines Inc.","PIT","Pittsburgh, PA","Pennsylvania","DCA","Washington, DC","Virginia",
1.00,566.00,"Delta Air Lines Inc.","ATL","Atlanta, GA","Georgia","SBN","South Bend, IN","Indiana",
1.00,589.00,"Delta Air Lines Inc.","CVG","Cincinnati, OH","Kentucky","JFK","New York, NY","New York",
1.00,1671.00,"Delta Air Lines Inc.","DEN","Denver, CO","Colorado","BDL","Hartford, CT","Connecticut",
1.00,594.00,"Delta Air Lines Inc.","EWR","Newark, NJ","New Jersey","GSP","Greer, SC","South Carolina",
1.00,422.00,"Delta Air Lines Inc.","FLL","Fort Lauderdale, FL","Florida","SAV","Savannah, GA","Georgia",
1.00,194.00,"Delta Air Lines Inc.","GRR","Grand Rapids, MI","Michigan","MSN","Madison, WI","Wisconsin",
1.00,985.00,"Delta Air Lines Inc.","MCO","Orlando, FL","Florida","DFW","Dallas/Fort Worth, TX","Texas",
1.00,563.00,"Delta Air Lines Inc.","MIA","Miami, FL","Florida","CAE","Columbia, SC","South Carolina",
1.00,785.00,"Delta Air Lines Inc.","MSP","Minneapolis, MN","Minnesota","HSV","Huntsville, AL","Alabama",
1.00,103.00,"Delta Air Lines Inc.","PBI","West Palm Beach/Palm Beach, FL","Florida","MLB","Melbourne, FL","Florida",
1.00,1262.00,"Delta Air Lines Inc.","SLC","Salt Lake City, UT","Utah","MEM","Memphis, TN","Tennessee",
1.00,209.00,"Delta Air Lines Inc.","SYR","Syracuse, NY","New York","JFK","New York, NY","New York",
